Customer_ID,Tenure_Months,Purchase_Frequency,Avg_Order_Value,Total_Spend,Last_Purchase_Days,Website_Visits,Discount_Usage,Support_Tickets,Churn
CUST0,39,17,4368,42785,91,96,0.3985592241441276,9,1
CUST1,29,2,4776,37547,144,13,0.1701526411445169,1,1
CUST2,15,3,4855,43818,127,97,0.2547205004575489,8,1
CUST3,43,5,4395,72927,113,98,0.26324617483054435,5,1
CUST4,8,5,2755,66681,80,97,0.5562363940257727,4,1
CUST5,21,1,2505,80465,7,69,0.4114109317604655,4,1
CUST6,39,8,4708,90862,16,67,0.9477328040063053,2,0
CUST7,19,12,1288,96527,16,61,0.12637014194700513,5,0
CUST8,23,4,2842,38333,168,60,0.9736921348501988,3,1
CUST9,11,13,1377,17576,12,71,0.23063864021426395,9,1
CUST10,11,15,4957,40405,35,24,0.7728739363818531,1,0
CUST11,24,11,3194,95000,21,63,0.3389699261728214,2,0
CUST12,36,10,759,74779,178,86,0.1430813954173139,8,1
CUST13,40,3,3164,32601,171,61,0.8578891852462399,8,1
CUST14,24,14,1471,68946,17,23,0.3088608992364632,5,0
CUST15,3,16,2013,68356,32,30,0.6588554042268422,9,1
CUST16,22,10,3115,53116,41,60,0.5664436850866266,9,1
CUST17,2,10,809,63894,134,18,0.4717563093908743,8,1
CUST18,24,12,2661,35635,27,96,0.4958194726485391,3,0
CUST19,44,9,4320,8465,148,56,0.7322379140922876,4,1
CUST20,30,1,483,57754,153,53,0.08777291412344057,9,1
CUST21,38,5,3128,98975,66,7,0.6681806619579052,5,1
CUST22,2,8,4596,93850,137,97,0.8958121013985787,8,1
CUST23,21,11,1291,86119,92,69,0.05778819701986415,4,1
CUST24,33,12,1016,93691,61,92,0.14065333923366674,7,1
CUST25,12,1,282,39871,166,72,0.7166319367020314,0,1
CUST26,22,11,2120,63874,3,79,0.43728164824461757,4,0
CUST27,44,5,3691,78733,103,52,0.40354862081368836,9,1
CUST28,25,15,3344,30511,55,4,0.13696663454423585,0,0
CUST29,27,5,2293,81960,1,34,0.5067700407177881,9,1
CUST30,42,12,4913,49821,101,69,0.12654531119637724,5,1
CUST31,28,5,375,66776,45,33,0.4766204563105404,6,1
CUST32,16,17,2904,71167,175,69,0.7636152989616567,4,1
CUST33,15,17,569,76135,26,38,0.2582643578871635,0,0
CUST34,47,12,2018,45462,121,98,0.4807861681797273,5,1
CUST35,44,15,2301,62382,142,26,0.9920159693968357,9,1
CUST36,3,15,4985,91194,46,1,0.6866504233540373,4,0
CUST37,37,6,3690,33574,122,4,0.8413567713051986,5,1
CUST38,7,12,1979,42910,31,39,0.41484760656054576,9,1
CUST39,21,18,1564,74531,59,54,0.7678609231258553,6,1
CUST40,9,14,4662,26186,29,90,0.040509172941321836,6,1
CUST41,39,2,3542,95781,106,33,0.12291118254224498,1,1
CUST42,18,9,4939,23813,17,33,0.20307059292006213,2,0
CUST43,4,5,3876,79812,142,72,0.40195192461521956,5,1
CUST44,25,1,2626,86525,164,20,0.8457448783257632,2,1
CUST45,14,3,272,79282,24,16,0.3462660507879305,1,1
CUST46,9,6,3162,19557,109,21,0.6546211935154629,3,1
CUST47,26,5,1059,29060,91,45,0.7093142948034834,4,1
CUST48,2,5,4056,59866,25,90,0.5861823540883414,9,1
CUST49,20,1,4338,73104,32,87,0.3572419681701362,8,1
CUST50,28,17,2624,85577,116,82,0.5770533417135443,2,1
CUST51,47,19,1264,7080,82,62,0.3422655927897462,2,1
CUST52,7,14,2417,14854,110,31,0.08387373855201208,5,1
CUST53,44,12,4217,68695,146,42,0.9928039781860144,4,1
CUST54,8,10,2459,28025,37,12,0.1271824536325109,5,0
